ACARA_ID,School_Name,Suburb,State,Postcode,Type,Sector,Status,Geolocation,Parent_School ID,AGE_ID,Latitude,Longitude
49271,Penong Primary School,Penong,SA,5690,Primary,Gov,Open,Very Remote,49271,47499,-31.9286,133.005
50348,Penong Primary School - Coorabie Campus,Coorabie,SA,5690,Primary,Gov,Open,Very Remote,49271,,-31.9283,133.006
49025,Penrhos College,Como,WA,6152,Combined,Non-Gov,Open,Major Cities,49025,42711,-31.9971,115.871
43938,Penrith Anglican College,Orchard Hills,NSW,2748,Combined,Non-Gov,Open,Major Cities,43938,56722,-33.79538,150.7075
43814,Penrith Christian School,Orchard Hills,NSW,2748,Combined,Non-Gov,Open,Major Cities,43814,42391,-33.7849,150.709
41806,Penrith High School,Penrith,NSW,2750,Secondary,Gov,Open,Major Cities,41806,50712,-33.7566,150.706
40755,Penrith Lakes Environmental Education Centre,Castlereagh,NSW,2749,Special,Gov,Open,Major Cities,40755,64087,-33.7272,150.683
41660,Penrith Public School,Penrith,NSW,2750,Primary,Gov,Open,Major Cities,41660,50714,-33.7561,150.705
41701,Penrith South Public School,Penrith,NSW,2750,Primary,Gov,Open,Major Cities,41701,50715,-33.7639,150.701
41801,Penrith Valley Learning Centre,Werrington,NSW,2747,Special,Gov,Open,Major Cities,41801,67706,-33.7661,150.757
42801,Penrose Public School,Penrose,NSW,2579,Primary,Gov,Open,Inner Regional,42801,50264,-34.6697,150.221
40552,Penshurst Primary School,Penshurst,VIC,3289,Primary,Gov,Open,Outer Regional,40552,49933,-37.8795,142.291
41045,Penshurst Public School,Penshurst,NSW,2222,Primary,Gov,Open,Major Cities,41045,48137,-33.9626,151.088
41086,Penshurst West Public School,Mortdale,NSW,2223,Primary,Gov,Open,Major Cities,41086,56260,-33.9621,151.072
45179,Pentland Primary School,Bacchus Marsh,VIC,3340,Primary,Gov,Open,Major Cities,45179,55058,-37.6559,144.423
46723,Pentland State School,Pentland,QLD,4816,Primary,Gov,Open,Very Remote,46723,53041,-20.5229,145.398
50114,Peppimenarti School,Peppimenarti,NT,822,Combined,Gov,Open,Very Remote,50114,47988,-14.14978,130.077
45174,Peranbin Primary College,Violet Town,VIC,3669,Primary,Gov,Open,Inner Regional,45174,55914,-36.6342,145.717
45177,Peranbin Primary College-Baddaginnie Campus,Baddaginnie,VIC,3670,Primary,Gov,Open,Inner Regional,45174,28480,-36.5925,145.863
45176,Peranbin Primary College-Strathbogie Campus,Strathbogie,VIC,3666,Primary,Gov,Open,Inner Regional,45174,28226,-36.856,145.736
45175,Peranbin Primary College-Swanpool Campus,Swanpool,VIC,3673,Primary,Gov,Open,Inner Regional,45174,28481,-36.7515,146.001
47966,Peregian Beach College,Peregian Beach,QLD,4573,Combined,Non-Gov,Open,Major Cities,47966,57690,-26.4795,153.069
47235,Peregian Springs State School,Peregian Springs,QLD,4573,Primary,Gov,Open,Major Cities,47235,68664,-26.5,153.07
40247,Peregrine,Nicholls Rivulet,TAS,7112,Primary,Non-Gov,Open,Outer Regional,40247,56957,-43.1416,147.153
48482,Perenjori Primary School,Perenjori,WA,6620,Primary,Gov,Open,Remote,48482,52717,-29.4437,116.286
40592,Perseverance Primary School,French Island,VIC,3921,Primary,Gov,Open,Outer Regional,40592,52136,-38.3834,145.333
49023,Perth College,Mount Lawley,WA,6050,Combined,Non-Gov,Open,Major Cities,49023,40124,-31.9312,115.875
48148,Perth Modern School,Subiaco,WA,6008,Secondary,Gov,Open,Major Cities,48148,46668,-31.9452,115.837
49071,Perth Montessori School,Burswood,WA,6100,Combined,Non-Gov,Open,Major Cities,49071,44236,-31.9656,115.898
40174,Perth Primary School,Perth,TAS,7300,Primary,Gov,Open,Inner Regional,40174,48291,-41.5732,147.174
49072,Perth Waldorf School,Bibra Lake,WA,6163,Combined,Non-Gov,Open,Major Cities,49072,46884,-32.0921,115.818
53096,Perth Waldorf School - Secondary Campus,Parkerville,WA,6081,Secondary,Non-Gov,Open,Major Cities,49072,,-31.87103372,116.1378126
43026,Perthville Public School,Perthville,NSW,2795,Primary,Gov,Open,Inner Regional,43026,50985,-33.4911,149.55
49141,Peter Carnley Anglican Community School,Wellard,WA,6170,Combined,Non-Gov,Open,Major Cities,49141,63696,-32.2563,115.815
52504,Peter Carnley Anglican Community School - Calista Campus,Calista,WA,6167,Primary,Non-Gov,Open,Major Cities,49141,85342,-32.2403,115.81
45334,Peter Lalor Secondary College,Lalor,VIC,3075,Secondary,Gov,Open,Major Cities,45334,55516,-37.6669,145.013
49118,Peter Moyes Anglican Community School,Mindarie,WA,6030,Combined,Non-Gov,Open,Major Cities,49118,56076,-31.6768,115.708
49472,Peterborough High School,Peterborough,SA,5422,Secondary,Gov,Open,Outer Regional,49472,47390,-32.9787,138.836
49272,Peterborough Primary School,Peterborough,SA,5422,Primary,Gov,Open,Outer Regional,49272,47391,-32.9713,138.832
52708,Peterborough Primary School -  Yunta Campus,Yunta,SA,5440,Primary,Gov,Open,Remote,49272,46110,-32.5812,139.563
42900,Peterborough School,Warilla,NSW,2528,Special,Gov,Open,Major Cities,42900,56261,-34.556,150.855
41107,Petersham Public School,Petersham,NSW,2049,Primary,Gov,Open,Major Cities,41107,47608,-33.8956,151.15
46541,Petrie State School,Petrie,QLD,4502,Primary,Gov,Open,Major Cities,46541,52284,-27.2679,152.972
