ACARA_ID,School_Name,Suburb,State,Postcode,Type,Sector,Status,Geolocation,Parent_School ID,AGE_ID
44924,Forest Street Primary School,Wendouree,VIC,3355,Primary,Gov,Open,Inner Regional,44924,50162
52177,Forest Street Primary School-Forest Street Deaf Facility,Wendouree,VIC,3355,Primary,Gov,Open,Inner Regional,44924,15917
43869,Forestville Montessori School,Forestville,NSW,2087,Primary,Non-Gov,Open,Major Cities,43869,42376
41272,Forestville Public School,Forestville,NSW,2087,Primary,Gov,Open,Major Cities,41272,47684
47312,Forrest Beach State School,Forrest Beach,QLD,4850,Primary,Gov,Open,Outer Regional,47312,53074
52440,Forrest Parade School,Bellamack,NT,832,Special,Gov,Open,Outer Regional,52440,84967
49917,Forrest Primary School,Forrest,ACT,2603,Primary,Gov,Open,Major Cities,49917,50334
44499,Forrest Primary School,Forrest,VIC,3236,Primary,Gov,Open,Inner Regional,44499,49611
48636,Forrestdale Primary School,Forrestdale,WA,6112,Primary,Gov,Open,Major Cities,48636,51128
48368,Forrestfield Primary School,Forrestfield,WA,6058,Primary,Gov,Open,Major Cities,48368,49133
46763,Forsayth State School,Forsayth,QLD,4871,Primary,Gov,Open,Very Remote,46763,53126
42215,Forster Public School,Forster,NSW,2428,Primary,Gov,Open,Inner Regional,42215,49537
41177,Fort Street High School,Petersham,NSW,2049,Secondary,Gov,Open,Major Cities,41177,47605
41019,Fort Street Public School,Sydney,NSW,2000,Primary,Gov,Open,Major Cities,41019,57425
40189,Forth Primary School,Forth,TAS,7310,Primary,Gov,Open,Outer Regional,40189,48307
52802,Fortitude Valley State Secondary College,Fortitude Valley,QLD,4006,Secondary,Gov,Open,Major Cities,52802,86409
45300,Foster Primary School,Foster,VIC,3960,Primary,Gov,Open,Inner Regional,45300,52190
45389,Foster Secondary College,Foster,VIC,3960,Secondary,Gov,Open,Inner Regional,45389,54792
49114,Foundation Christian College,Greenfields,WA,6210,Combined,Non-Gov,Open,Major Cities,49114,55423
49144,Fountain College - Ferndale Campus,Ferndale,WA,6148,Combined,Non-Gov,Open,Major Cities,49144,65121
52271,Fountain College - Lynwood Campus,Lynwood,WA,6147,Primary,Non-Gov,Open,Major Cities,49144,
45002,Fountain Gate Primary School,Narre Warren,VIC,3805,Primary,Gov,Open,Major Cities,45002,51843
45600,Fountain Gate Secondary College,Narre Warren,VIC,3805,Secondary,Gov,Open,Major Cities,45600,55302
40512,Fowler Road School,Merrylands,NSW,2160,Special,Gov,Open,Major Cities,40512,48142
52804,Foxwell State Secondary College,Coomera,QLD,4209,Secondary,Gov,Open,Major Cities,52804,86411
43366,Fr John Therry Catholic Primary School Balmain-Rozelle,Balmain,NSW,2041,Primary,Non-Gov,Open,Major Cities,43366,54805
49167,Frances Primary School,Frances,SA,5262,Primary,Gov,Open,Outer Regional,49167,47274
42114,Francis Greenway High School,Beresfield,NSW,2322,Secondary,Gov,Open,Major Cities,42114,46421
49006,Francis Jordan Catholic School,Currambine,WA,6028,Primary,Non-Gov,Open,Major Cities,49006,53787
46280,Frank Dando Sports Academy,Ashwood,VIC,3147,Special,Non-Gov,Open,Major Cities,46280,43128
42355,Frank Partridge VC Public School,Nambucca Heads,NSW,2448,Primary,Gov,Open,Outer Regional,42355,55119
48369,Frankland River Primary School,Frankland River,WA,6396,Primary,Gov,Open,Outer Regional,48369,52572
40142,Franklin Primary School,Franklin,TAS,7113,Primary,Gov,Open,Outer Regional,40142,48192
42677,Franklin Public School,Tumut,NSW,2720,Primary,Gov,Open,Inner Regional,42677,50645
50557,Franklin School,Franklin,ACT,2913,Primary,Gov,Open,Major Cities,50557,69943
44785,Frankston East Primary School,Frankston,VIC,3199,Primary,Gov,Open,Major Cities,44785,49438
44857,Frankston Heights Primary School,Frankston,VIC,3199,Primary,Gov,Open,Major Cities,44857,49439
45390,Frankston High School,Frankston,VIC,3199,Secondary,Gov,Open,Major Cities,45390,68484
50186,Frankston High School-VCE Campus,Frankston,VIC,3199,Secondary,Gov,Open,Major Cities,45390,9440
44287,Frankston Primary School,Frankston,VIC,3199,Primary,Gov,Open,Major Cities,44287,45487
45045,Frankston Special Developmental School,Frankston,VIC,3199,Special,Gov,Open,Major Cities,45045,56386
52187,Frankston Special Developmental School-Blackwood Special Schools Outdoor Education Centre,Blackwood,VIC,3458,Special,Gov,Open,Inner Regional,45045,29101
47936,Fraser Coast Anglican College,Wondunna,QLD,4655,Combined,Non-Gov,Open,Inner Regional,47936,54335
49639,Fraser Park Primary School,Murray Bridge,SA,5253,Primary,Gov,Open,Inner Regional,49639,47136
49889,Fraser Primary School,Fraser,ACT,2615,Primary,Gov,Open,Major Cities,49889,50389
49094,Frederick Irwin Anglican School,Mandurah,WA,6210,Combined,Non-Gov,Open,Major Cities,49094,53602
52664,Frederick Irwin Anglican School - Halls Head Campus,Halls Head,WA,6210,Primary,Non-Gov,Open,Major Cities,49094,85432
42216,Frederickton Public School,Frederickton,NSW,2440,Primary,Gov,Open,Inner Regional,42216,49616
49168,Freeling Primary School,Freeling,SA,5372,Primary,Gov,Open,Inner Regional,49168,47370
43484,Freeman Catholic College,Bonnyrigg Heights,NSW,2177,Secondary,Non-Gov,Open,Major Cities,43484,45351
41629,Freemans Reach Public School,Freemans Reach,NSW,2756,Primary,Gov,Open,Major Cities,41629,50742
46426,Freestone State School,Freestone,QLD,4370,Primary,Gov,Open,Inner Regional,46426,51966
49626,Fregon Anangu School,Fregon,SA,872,Combined,Gov,Open,Very Remote,49626,46108
49086,Fremantle Christian College,Hamilton Hill,WA,6163,Combined,Non-Gov,Open,Major Cities,49086,53326
52276,Fremantle College,Beaconsfield,WA,6162,Secondary,Gov,Open,Major Cities,52276,46673
48813,Fremantle Language Development Centre,Willagee,WA,6156,Special,Gov,Open,Major Cities,48813,55162
52658,Fremantle Language Development Centre - Beeliar Campus,Beeliar,WA,6164,Special,Gov,Open,Major Cities,48813,87143
52659,Fremantle Language Development Centre - Bull Creek Campus,Bull Creek,WA,6149,Special,Gov,Open,Major Cities,48813,87144
48508,Fremantle Primary School,Fremantle,WA,6160,Primary,Gov,Open,Major Cities,48508,58123
41211,Frenchs Forest Public School,Frenchs Forest,NSW,2086,Primary,Gov,Open,Major Cities,41211,47682
46954,Frenchville State School,Frenchville,QLD,4701,Primary,Gov,Open,Inner Regional,46954,52845
43915,Frensham School,Mittagong,NSW,2575,Secondary,Non-Gov,Open,Inner Regional,43915,41381
48332,Freshwater Bay Primary School,Claremont,WA,6010,Primary,Gov,Open,Major Cities,48332,69005
48108,Freshwater Christian College,Brinsmead,QLD,4870,Combined,Non-Gov,Open,Outer Regional,48108,44244
46357,Freshwater Creek Steiner School,Freshwater Creek,VIC,3217,Primary,Non-Gov,Open,Inner Regional,46357,57040
47271,Freshwater State School,Freshwater,QLD,4870,Primary,Gov,Open,Outer Regional,47271,53141
49522,Fulham Gardens Primary School,Henley Beach,SA,5022,Primary,Gov,Open,Major Cities,49522,46917
49616,Fulham North Primary School,Henley Beach,SA,5022,Primary,Gov,Open,Major Cities,49616,46918
45089,Furlong Park School For Deaf Children,Sunshine North,VIC,3020,Special,Gov,Open,Major Cities,45089,56387
